,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
504,frozenset({'roubo_outros'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_dolosa'})",0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
487,"frozenset({'lesao_corporal_culposa_por_acidente_de_transito', 'roubo_outros'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
130,"frozenset({'estupro_de_vulneravel', 'furto_de_veiculos'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
489,frozenset({'roubo_outros'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_culposa_por_acidente_de_transito'})",0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
510,"frozenset({'roubo_de_veiculo', 'homicidio_culposo_por_acidente_de_transito'})",frozenset({'roubo_outros'}),0.7307692307692307,0.9230769230769231,0.7115384615384616,0.9736842105263159,1.0548245614035088,1.0,0.03698224852071008,2.9230769230769367,0.19305019305019314,0.7551020408163267,0.6578947368421069,0.8722587719298246
5,frozenset({'estupro'}),frozenset({'roubo_outros'}),0.7307692307692307,0.9230769230769231,0.7115384615384616,0.9736842105263159,1.0548245614035088,1.0,0.03698224852071008,2.9230769230769367,0.19305019305019314,0.7551020408163267,0.6578947368421069,0.8722587719298246
104,frozenset({'estupro'}),"frozenset({'furto_de_veiculos', 'roubo_outros'})",0.7307692307692307,0.9230769230769231,0.7115384615384616,0.9736842105263159,1.0548245614035088,1.0,0.03698224852071008,2.9230769230769367,0.19305019305019314,0.7551020408163267,0.6578947368421069,0.8722587719298246
119,frozenset({'estupro'}),"frozenset({'lesao_corporal_culposa_por_acidente_de_transito', 'roubo_outros'})",0.7307692307692307,0.9230769230769231,0.7115384615384616,0.9736842105263159,1.0548245614035088,1.0,0.03698224852071008,2.9230769230769367,0.19305019305019314,0.7551020408163267,0.6578947368421069,0.8722587719298246
89,"frozenset({'estupro', 'estupro_de_vulneravel'})",frozenset({'roubo_outros'}),0.7307692307692307,0.9230769230769231,0.7115384615384616,0.9736842105263159,1.0548245614035088,1.0,0.03698224852071008,2.9230769230769367,0.19305019305019314,0.7551020408163267,0.6578947368421069,0.8722587719298246
79,frozenset({'estupro'}),"frozenset({'estupro_de_vulneravel', 'furto_de_veiculos'})",0.7307692307692307,0.9230769230769231,0.7115384615384616,0.9736842105263159,1.0548245614035088,1.0,0.03698224852071008,2.9230769230769367,0.19305019305019314,0.7551020408163267,0.6578947368421069,0.8722587719298246
122,frozenset({'estupro'}),"frozenset({'lesao_corporal_dolosa', 'roubo_outros'})",0.7307692307692307,0.9230769230769231,0.7115384615384616,0.9736842105263159,1.0548245614035088,1.0,0.03698224852071008,2.9230769230769367,0.19305019305019314,0.7551020408163267,0.6578947368421069,0.8722587719298246
120,"frozenset({'estupro', 'lesao_corporal_dolosa'})",frozenset({'roubo_outros'}),0.7307692307692307,0.9230769230769231,0.7115384615384616,0.9736842105263159,1.0548245614035088,1.0,0.03698224852071008,2.9230769230769367,0.19305019305019314,0.7551020408163267,0.6578947368421069,0.8722587719298246
